Rank,Player_Name,Matches_Played,Average,Strike_Rate,Boundary_Percentage,Batting_Impact_Score,Ranking_Score
50,TH David,49,36.78,178.6,69.49,1578.8,68.75
51,MP Stoinis,111,28.01,145.04,62.79,3140.02,68.58
52,AC Gilchrist,80,27.22,138.39,72.89,3172.7,68.05
53,PA Patel,137,22.6,120.78,61.59,4332.39,68.02
54,RA Tripathi,98,26.03,137.85,62.24,3505.42,68.01
55,S Dube,81,31.13,144.19,62.62,3013.6,67.98
56,TM Head,42,33.32,168.13,73.14,1983.06,67.85
57,JM Bairstow,52,34.88,146.07,67.86,2584.04,67.06
58,M Vijay,106,25.93,121.87,58.57,3989.44,67.06
59,V Suryavanshi,12,37.67,228.28,87.61,792.14,67.04
60,P Simran Singh,56,29.0,155.2,73.05,2426.6,66.85
61,PP Shaw,79,23.95,147.47,69.66,2911.73,66.44
62,SR Tendulkar,78,33.83,119.82,58.18,3560.91,66.31
63,RM Patidar,43,33.33,161.77,66.47,2080.39,65.93
64,Priyansh Arya,22,30.14,191.07,80.24,1090.03,65.56
65,KS Williamson,77,35.53,125.63,53.1,3260.82,65.42
66,JP Duminy,81,39.78,124.02,48.2,3105.51,65.08
67,SO Hetmyer,82,28.53,151.81,62.83,2343.9,64.61
68,MEK Hussey,58,38.76,122.64,55.84,3026.82,64.42
69,Tilak Varma,56,34.27,144.11,60.18,2385.06,63.99
70,AJ Finch,90,24.9,127.95,63.29,3201.98,63.65
71,T Stubbs,35,43.16,159.84,59.02,1309.92,62.9
72,JH Kallis,98,28.55,109.23,52.9,3695.11,62.44
73,AR Patel,167,21.32,133.64,56.49,2945.32,62.33
74,D Padikkal,78,25.88,129.14,62.03,2976.07,62.31
75,R Shepherd,22,27.88,206.48,78.03,437.74,62.26
76,CA Lynn,42,34.08,140.63,69.53,2063.82,62.23
77,Shashank Singh,38,40.35,158.24,61.96,1289.62,62.1
78,J Fraser-McGurk,15,25.67,199.48,87.27,677.24,62.04
79,R Parag,80,24.91,141.77,62.14,2499.38,61.8
80,R Dravid,82,28.23,115.52,57.22,3318.76,61.69
81,VR Iyer,57,30.55,138.1,63.46,2314.55,61.5
82,DP Conway,28,43.2,139.72,62.22,1689.86,60.98
83,MR Marsh,60,27.06,141.98,67.09,2181.49,60.94
84,A Mhatre,12,34.25,181.06,76.89,707.03,60.64
85,AK Markram,61,30.59,136.24,56.28,2408.12,60.52
86,KH Pandya,147,21.43,131.91,57.03,2701.45,60.31
87,LS Livingstone,49,25.98,156.16,69.11,1675.58,60.26
88,DPMD Jayawardene,78,28.25,123.5,57.52,2773.75,60.03
89,KK Nair,76,23.86,131.73,61.04,2606.86,59.58
90,Dhruv Jurel,40,30.57,158.23,64.02,1363.11,59.15
91,JM Sharma,51,23.93,156.38,68.42,1621.69,59.15
92,ML Hayden,32,35.71,137.34,67.57,1729.17,59.09
93,RK Singh,55,30.18,143.19,61.34,1837.09,59.07
94,C Green,34,36.33,152.91,61.86,1220.95,58.65
95,DJ Bravo,160,22.61,129.57,56.15,2404.78,58.6
96,Naman Dhir,24,27.83,175.17,70.26,839.09,58.24
97,LMP Simmons,29,39.96,126.64,64.87,1681.82,57.5
98,BJ Hodge,63,33.33,125.22,53.29,2162.61,57.39
99,MK Tiwary,86,28.73,116.98,50.97,2600.99,56.88
100,KC Sangakkara,68,25.95,121.19,55.84,2591.1,56.84
101,MM Ali,69,22.02,139.76,67.01,1820.38,56.68
102,KP Pietersen,36,35.75,134.72,60.34,1568.86,56.57
103,R Tewatia,95,23.39,137.08,61.26,1787.54,56.29
104,Mandeep Singh,98,20.8,122.91,54.63,2620.46,56.11
105,HM Amla,16,44.38,141.77,63.43,936.38,56.11
106,S Badrinath,67,30.66,118.89,54.41,2220.95,55.73
107,JA Morkel,90,24.38,141.92,58.87,1533.46,55.58
108,ST Jayasuriya,30,27.43,144.36,74.22,1224.18,55.3
109,Rashid Khan,140,14.16,159.42,69.29,993.21,55.12
110,SS Tiwary,73,28.73,120.1,49.8,2301.05,55.06
111,NV Ojha,94,20.72,118.35,61.65,2390.18,54.96
112,J Overton,7,51.0,156.92,60.78,231.46,54.68
113,A Symonds,36,36.07,129.87,55.65,1525.93,54.56
